ID,Cusip,Ticker from BQNT,Name,Pricing Date,Maturity Date,First call date,Redeemable,First Put  Date,Issue Size ($mm),Conversion Premium,Coupon,Conversion Price (at issue),Conversion Ratio (at issue),Conversion Price (adjusted),Conversion Ratio (adjusted),Split,Multiplier,Upper Strike (adjusted),Derivative,Type,Upper Strike,Effective Premium,Derivative Cost,Cost in Bond Points,VWAP Period,Net Proceeds,Date of Transaction,Maturity/Put,Term,Unadjusted Share price at issue,Adjusted Stock price at issue,Adjusted Stock price at maturity,CAGR (Adj),CAGR (unadj),Stock Price,Conversion Price
196,22943FAE0 Corp,TCOM,TCOM 1 07/01/20,6/18/2015,7/1/2020,-,No,7/1/2018,700,0.449940008,0.01,108.7641983,9.1942,54.3821,18.3884,Yes,0.500000104,,No,,,,,,,700,7/1/2018,Put,3,75.01,37.505,47.63,0.08189632,-0.138935307,47.63,54.38211046
197,22943FAG5 Corp,TCOM,TCOM 1.99 07/01/25,6/18/2015,7/1/2025,-,No,7/1/2020,400,0.425009999,0.0199,106.8889999,9.3555,53.4445,18.711,Yes,0.499999981,,No,,,,,,,400,7/1/2020,Put,5,75.01,37.505,25.92,-0.070735662,-0.190223862,25.92,53.44449789
198,69366JAA9 Corp,PTCT,PTCT 3 08/15/22,8/10/2015,8/15/2022,8/15/2018,Soft Call,-,150,0.299953853,0.03,56.34215464,17.7487,56.3422,17.7487,No,,,No,,,,,,,150,8/15/2022,Maturity,7,43.34,43.34,52.75,0.028410184,0.028410184,52.75,56.34215464
199,267475AA9 Corp,DY,DY 0 3/4 09/15/21,9/9/2015,9/15/2021,-,No,-,485,0.300013417,0.0075,96.8888975,10.3211,96.8889,10.3211,No,,130.43,Yes,Tax-Integrated,130.43,0.750033544,41.1,0.084742268,100,443.9,9/15/2021,Maturity,6,74.53,74.53,69.46,-0.011640968,0.033805036,91.034,96.8888975
200,30225VAD9 Corp,EXR,EXR 3 1/8 10/01/35,9/15/2015,10/1/2035,10/5/2020,Call,10/1/2020,575,0.275060144,0.03125,95.39530182,10.4827,90.9083,11.0001,Yes,0.952963749,,No,,,,,,,575,10/1/2020,Put,5,74.82,74.82,106.99,0.073473667,0.073473667,106.99,90.90826447
201,45772FAA5 Corp,MRVL,MRVL 1 1/8 12/01/20,12/2/2015,12/1/2020,-,No,-,230,0.349915966,0.01125,40.16257812,24.8988,40.1626,24.8988,No,,,No,,,,,,,230,12/1/2020,Maturity,5,9.55,9.55,46.29,0.371427864,0.371427864,46.29,40.16257812
202,413160AA0 Corp,HLIT,HLIT 4 12/01/20,12/8/2015,12/1/2020,-,No,-,128.25,0.280623608,0.04,5.747199103,173.9978,5.7472,173.9978,No,,,No,,,,,,,128.25,12/1/2020,Maturity,5,4.49,4.49,6.53,0.078103313,0.078103313,6.53,5.747192496
203,670002AA2 Corp,NVAX,NVAX 3 3/4 02/01/23,1/25/2016,2/1/2023,-,No,-,325,0.224820144,0.0375,6.81099987,146.8213,136.22,7.3411,Yes,20.00001652,,No,,,,,,,325,2/1/2023,Maturity,7,5.56,111.2,10.91,-0.281706176,0.100834633,10.91,136.2201099
204,488445AA5 Corp,ZVRA,KMPH 5 1/2 02/01/21,2/3/2016,2/1/2021,-,No,-,86.25,0.154520918,0.055,17.10998641,58.4454,17.11,58.4454,No,,,No,,,,,,,86.25,2/1/2021,Maturity,5,14.82,237.12,6.03,-0.520581196,-0.164768355,6.03,17.10998641
205,126349AE9 Corp,CSGS,CSGS 4 1/4 03/15/36,3/9/2016,3/15/2036,3/20/2020,Soft/Call,3/15/2022,230,0.4,0.0425,57.25999832,17.4642,56.2996,17.7621,Yes,0.983228273,,No,,,,,,,230,3/15/2022,Put,6,40.9,40.9,63.19,0.074979754,0.074979754,63.19,56.29964925
206,909214BR8 Corp,UIS,UIS 5 1/2 03/01/21,3/9/2016,3/11/2021,-,No,-,213.5,0.224592221,0.055,9.763250928,102.4249,9.7633,102.4249,No,,12.752,Yes,Capped Call,12.752,0.6,,0,30,213.5,3/11/2021,Maturity,5,7.97,7.97,26.48,0.271089645,0.258021025,25.145,9.763241396
207,670704AF2 Corp,GMED,GMED 2 1/4 03/15/21,3/10/2016,3/15/2021,3/20/2019,Soft Call,-,650,0.324916944,0.0225,59.82363991,16.7158,59.8236,16.7158,No,,,No,,,,,,,650,3/15/2021,Maturity,5,25.34,25.34,62.44,0.197055462,0.197055462,62.44,59.82363991
208,49926DAA7 Corp,KN,KN 3 1/4 11/01/21,4/28/2016,11/1/2021,-,No,-,172.5,0.374626866,0.0325,18.42499461,54.2741,18.425,54.2741,No,,21.105,Yes,Tax-Integrated,21.105,0.575,4.7,0.027246377,40,167.8,11/1/2021,Maturity,5.5,13.4,13.4,20.84,0.083474473,0.090350394,21.579,18.42499461
209,759916AA7 Corp,RGEN,RGEN 2 1/8 06/01/21,5/18/2016,6/1/2021,6/5/2019,Soft Call,-,115,0.224980901,0.02125,32.07049942,31.1813,31.6968,31.5489,No,,,No,,,,,,,115,6/1/2021,Maturity,5,26.18,26.18,182.61,0.470622654,0.470622654,182.61,31.6968262
210,01741RAG7 Corp,ATI,ATI 4 3/4 07/01/22,5/18/2016,7/1/2022,-,No,-,287.5,0.25,0.0475,14.44999003,69.2042,14.45,69.2042,No,,,No,,,,,,,287.5,7/1/2022,Maturity,6,11.56,11.56,22.71,0.116664055,0.116664055,22.71,14.44999003
211,887399AA1 Corp,MTUS,MTUS 6 06/01/21,5/24/2016,6/1/2021,-,No,-,86.25,0.200381679,0.06,12.57600624,79.5165,12.576,79.5165,No,,,No,,,,,,,86.25,6/1/2021,Maturity,5,10.48,10.48,15.15,0.076183348,0.076183348,15.15,12.57600624
212,947075AH0 Corp,WFRD,WFRD 5 7/8 07/01/21,6/1/2016,7/1/2021,-,No,-,1265,0.399638336,0.05875,7.741999418,129.1656,7.742,129.1656,No,,,No,,,,,,,1265,7/1/2021,Maturity,5,5.531428525,5.531428525,18.2,0.264011331,0.264011331,18.2,7.741975442
213,64157FAA1 Corp,NVRO,NVRO 1 3/4 06/01/21,6/7/2016,6/1/2021,-,No,-,172.5,0.325037811,0.0175,96.3669654,10.377,96.367,10.377,No,,127.2775,Yes,Tax-Integrated,127.2775,0.75,10.4,0.060289855,60,162.1,6/1/2021,Maturity,5,72.73,72.73,150.7,0.157421569,0.094196302,113.9038,96.3669654
214,901109AC2 Corp,TPC,TPC 2 7/8 06/15/21,6/9/2016,6/15/2021,6/15/2019,Soft Call,-,200,0.375,0.02875,30.24995538,33.0579,30.25,33.0579,No,,,No,,,,,,,200,6/15/2021,Maturity,5,22,22,14.6,-0.078480873,-0.078480873,14.6,30.24995538
215,69888VAA1 Corp,PARR,PARR 5 06/15/21,6/15/2016,6/15/2021,6/20/2019,Soft Call,-,115,0.151631478,0.05,17.9999856,55.5556,18,55.5556,No,,,No,,,,,,,115,6/15/2021,Maturity,5,15.63,15.4902,16.09,0.007627018,0.005818023,16.09,17.9999856
216,393222AE4 Corp,GPRE,GPRE 4 1/8 09/01/22,8/9/2016,9/1/2022,9/1/2020,Soft Call,-,170,0.225382932,0.04125,27.9999888,35.7143,28,35.7143,No,,,No,,,,,,,170,9/1/2022,Maturity,6,22.85,22.85,36.63,0.080971018,0.080971018,36.63,27.9999888
217,78454LAM2 Corp,SM,SM 1 1/2 07/01/21,8/9/2016,7/1/2021,-,No,-,172.5,0.35,0.015,40.49993115,24.6914,40.4999,24.6914,No,,60,Yes,Capped Call,60,1,24,0.139130435,30,148.5,7/1/2021,Maturity,5,30.35,30.35,24.63,-0.041769581,-0.078282648,20.365,40.49993115
218,87238QAC7 Corp,TCPC,TCPC 4 5/8 03/01/22,8/30/2016,3/1/2022,-,No,3/1/2022,140,0.100119904,0.04625,18.3479842,54.5019,18.348,54.5019,No,,,No,,,,,,,140,3/1/2022,Maturity,5.5,16.68,16.68,13.74,-0.034623007,-0.034623007,13.74,18.3479842
219,22943FAL4 Corp,TCOM,TCOM 1 1/4 09/15/22,9/6/2016,9/15/2022,-,No,9/15/2019,975,0.424934726,0.0125,65.49303154,15.2688,65.493,15.2688,No,,,No,,,,,,,975,9/15/2019,Put,3,45.96,45.96,36.01,-0.077486084,-0.077486084,36.01,65.49303154
220,45784PAE1 Corp,PODD,PODD 1 1/4 09/15/21,9/7/2016,9/15/2021,9/15/2019,Soft Call,-,345,0.325085131,0.0125,58.36621297,17.1332,58.3662,17.1332,No,,,No,,,,,,,345,9/15/2021,Maturity,5,44.05,44.05,294.29,0.459607145,0.459607145,294.29,58.36621297
221,674215AJ7 Corp,CHRD,CHRD 2 5/8 09/15/23,9/13/2016,9/15/2023,9/15/2020,Soft Call,-,300,0.350515464,0.02625,13.09500426,76.365,13.095,76.365,No,,,No,,,,,,,300,9/15/2023,Maturity,7,9.696300861,9.696300861,161.5,0.494070539,0.494070539,161.5,13.09500426
222,25400WAA0 Corp,APPS,APPS 8 3/4 09/23/20,9/22/2016,9/23/2020,9/23/2018,Soft Call,-,16,0.1,0.0875,1.363995963,733.14,1.364,733.14,No,,,No,,,,,,,16,9/23/2020,Maturity,4,1.24,1.24,32.17,1.255599674,1.255599674,32.17,1.363995963
223,647551AB6 Corp,NMFC,NMFC 5 06/15/19,9/26/2016,6/15/2019,-,No,-,155.25,0.144098479,0.05,15.93000031,62.7746,15.8029,63.2794,No,,,No,,,,,,,155.25,6/15/2019,Maturity,2.5,13.81,13.81,14.05,0.006355755,0.006355755,14.05,15.80293113
224,38147UAA5 Corp,GSBD,GSBD 4 1/2 04/01/22,9/27/2016,4/1/2022,-,No,-,155,0.100179695,0.045,24.48597717,40.8397,24.2915,41.1666,No,,,No,,,,,,,155,4/1/2022,Maturity,5.5,22.26,22.26,19.61,-0.022736834,-0.022736834,19.61,24.29153731
225,42330PAH0 Corp,HLX,HLX 4 1/4 05/01/22,10/26/2016,5/1/2022,11/1/2019,Soft Call,-,125,0.424615385,0.0425,13.8937517,71.9748,13.8938,71.9748,No,,,No,,,,,,,125,5/1/2022,Maturity,5.5,9.75,9.75,4.11,-0.14501125,-0.14501125,4.11,13.8937517
226,88339KAA0 Corp,TBPH,TBPH 3 1/4 11/01/23,10/27/2016,11/1/2023,-,No,-,230,0.325,0.0325,34.44997175,29.0276,34.45,29.0276,No,,,No,,,,,,,230,11/1/2023,Maturity,7,26.55,26.55,9.44,-0.137129547,-0.137129547,9.44,34.44997175
227,30050BAA9 Corp,EVH,EVH 2 12/01/21,11/29/2016,12/1/2021,-,No,-,125,0.274801061,0.02,24.03372412,41.6082,24.0337,41.6082,No,,,No,,,,,,,125,12/1/2021,Maturity,5,18.85,18.85,26,0.066353987,0.066353987,26,24.03372412
228,651718AD0 Corp,NPKI,NR 4 12/01/21,11/29/2016,6/1/2021,-,No,-,100,0.424427481,0.04,9.333747752,107.1381,9.3337,107.1381,No,,,No,,,,,,,100,6/1/2021,Maturity,4.5,6.55,6.55,3.34,-0.138845065,-0.138845065,3.34,9.333756464
229,74365AAD3 Corp,PLX,PLX 7 1/2 11/15/21,12/1/2016,11/15/2021,-,No,-,59.121,0.519213584,0.075,0.850000024,1176.4706,8.5,117.6471,Yes,10.00000472,,No,,,,,,,59.121,11/15/2021,Maturity,5,0.5595,5.595,1.14,-0.274593107,0.154450723,1.14,8.50000425
230,880770AF9 Corp,TER,TER 1 1/4 12/15/23,12/6/2016,12/15/2023,-,No,-,460,0.275130156,0.0125,31.83679962,31.4102,31.4262,31.8206,Yes,0.987102454,39.43474304,Yes,Tax-Integrated,39.95,0.599919904,33,0.07173913,80,427,12/15/2023,Maturity,7,24.97,24.97,105.39,0.227501939,0.260230711,126.7886,31.42618304
231,98954MAA9 Corp,ZG,Z 2 12/01/21,12/6/2016,12/1/2021,12/6/2019,Soft Call,-,460,0.375361177,0.02,52.36013299,19.0985,52.3601,19.0985,No,,69.19,Yes,Capped Call,69.19,0.817441555,36.6,0.079565217,30,423.4,12/1/2021,Maturity,5,38.07,38.07,54.11,0.07305998,0.140846327,73.4385,52.36013299
232,03152WAA7 Corp,FOLD,FOLD 3 12/15/23,12/15/2016,12/15/2023,12/19/2020,Soft Call,-,250,0.275,0.03,6.119999731,163.3987,6.12,163.3987,No,,7.2,Yes,Capped Call,7.2,0.5,13.5,0.054,30,236.5,12/15/2023,Maturity,7,4.8,4.8,12.45,0.145862714,0.126318854,11.0375,6.119988494
233,62957HAA3 Corp,NBR,NBR 0 3/4 01/15/24,1/9/2017,1/15/2024,-,No,-,575,0.400111297,0.0075,25.15800095,39.7488,1247.1938,0.8018,Yes,49.57444022,1558.992209,Yes,Capped Call,31.4475,0.75,35,0.060869565,30,540,1/15/2024,Maturity,7,17.97,898.5,76.54,-0.29602259,0.242119245,82.2736,1247.193814
234,55932XAA2 Corp,MX,MX 5 03/01/21,1/10/2017,3/1/2021,-,No,-,86.25,0.300787402,0.05,8.25500026,121.1387,8.255,121.1387,No,,,No,,,,,,,86.25,3/1/2021,Maturity,4,6.35,6.35,18.69,0.297775995,0.297775995,18.69,8.254979817
235,65366HAA1 Corp,NICE,NICEIT 1 1/4 01/15/24,1/11/2017,1/15/2024,-,No,-,287.5,0.224955804,0.0125,83.15319824,12.026,82.9614,12.0538,No,,101.82,Yes,Tax-Integrated,101.82,0.5,20.3,0.070608696,80,267.2,1/15/2024,Maturity,7,67.88,67.88,208.04,0.173211494,0.173880366,208.873,82.96138977
236,922417AD2 Corp,VECO,VECO 2.7 01/15/23,1/11/2017,1/15/2023,1/20/2021,Soft Call,10/15/2022,345,0.439928058,0.027,40.03202562,24.98,40.032,24.98,No,,,No,,,,,,,345,10/15/2022,Put,6,27.8,27.8,17.14,-0.080518914,-0.080518914,17.14,40.03202562
237,90187BAA9 Corp,TWO,TWO 6 1/4 01/15/22,1/13/2017,1/15/2022,-,No,-,287.5,0.13507378,0.0625,10,100,15.8218,63.204,Yes,1.582178343,,No,,,,,,,287.5,1/15/2022,Maturity,5,8.81,57.7328,23.44,-0.164793447,-0.07822771,5.86,15.82178343
238,649604AD7 Corp,NYMT,NYMT 6 1/4 01/15/22,1/17/2017,1/15/2022,-,No,-,138,0.100470958,0.0625,7.007001396,142.7144,7.007,142.7144,No,,,No,,,,,,,138,1/15/2022,Maturity,5,6.37,25.48,15.12,-0.09921727,-0.09921727,3.78,7.007021035
239,038923AA6 Corp,ABR,ABR 6 1/2 10/01/19,1/19/2017,1/11/2019,-,No,-,100,0.120320856,0.065,8.381999969,119.3033,7.7104,129.6955,No,,,No,,,,,,,100,1/11/2019,Maturity,2,7.48,7.48,11.29,0.23140418,0.23140418,11.29,8.040007075
240,427096AF9 Corp,HTGC,HTGC 4 3/8 02/01/22,1/19/2017,2/1/2022,-,No,-,230,0.149964961,0.04375,16.41049957,60.9366,16.0611,62.2621,No,,,No,,,,,,,230,2/1/2022,Maturity,5,14.27,14.27,17.88,0.04582491,0.04582491,17.88,16.0611351
241,04010LAS2 Corp,ARCC,ARCC 3 3/4 02/01/22,1/23/2017,2/1/2022,-,No,-,388,0.150059312,0.0375,19.38899994,51.5756,18.995,52.6455,No,,,No,,,,,,,388,2/1/2022,Maturity,5,16.86,16.86,22.1,0.055365584,0.055365584,22.1,19.051756
242,87265KAC6 Corp,TSLX,TSLX 4 1/2 08/01/22,1/26/2017,8/1/2022,-,No,-,172.5,0.149784483,0.045,21.34399986,46.8516,17.9355,55.7554,Yes,0.840305594,,No,,,,,,,172.5,8/1/2022,Maturity,5.5,18.56,18.56,19.24,0.006547173,0.006547173,19.24,17.93548248
243,393657AJ0 Corp,GBX,GBX 2 7/8 02/01/24,1/31/2017,2/1/2024,-,No,-,275,0.375085714,0.02875,60.15620041,16.6234,57.6794,17.3372,Yes,0.967162192,,No,,,,,,,275,2/1/2024,Maturity,7,43.75,43.75,45.46,0.005490158,0.005490158,45.46,58.18080266
244,595017AE4 Corp,MCHP,MCHP 1 5/8 02/15/27,2/10/2017,2/15/2027,-,No,-,2070,0.425669958,0.01625,101.0754013,9.8936,44.1394,22.6555,Yes,0.433443329,,No,,,,,,,2070,-,-,-,70.9,35.45,56.26078902,0.047203625,-0.022830532,56.26078902,43.81045843
245,595017AG9 Corp,MCHP,MCHP 2 1/4 02/15/37,2/10/2017,2/15/2037,-,No,-,686.329,0.400564175,0.0225,99.30190277,10.0703,45.0327,22.2061,Yes,0.453492531,,No,,,,,,,686.329,-,-,-,70.9,35.45,44.65855936,0.011604945,-0.022830532,44.65855936,45.0326712
246,38046YAA9 Corp,GLNG,GLNG 2 3/4 02/15/22,2/13/2017,2/15/2022,-,No,-,402.5,0.349928367,0.02753,37.69200134,26.5308,37.0474,26.9925,Yes,0.982896281,,No,,,,,,,402.5,2/15/2022,Maturity,5,27.92,27.92,14.45,-0.123293993,-0.123293993,14.45,37.04732796
247,671044AC9 Corp,OSIS,OSIS 1 1/4 09/01/22,2/15/2017,9/1/2022,3/6/2020,Soft Call,-,287.5,0.38497229,0.0125,107.4621733,9.3056,107.4622,9.3056,No,,,No,,,,,,,287.5,9/1/2022,Maturity,5.5,77.59,77.59,83.32,0.012933638,0.012933638,83.32,107.4621733
248,925550AA3 Corp,VIAV,VIAV 1 03/01/24,2/27/2017,3/1/2024,-,No,-,460,0.324649299,0.01,13.22350769,75.6229,13.2235,75.6229,No,,,No,,,,,,,460,3/1/2024,Maturity,7,9.98,9.98,9.55,-0.006262045,-0.006262045,9.55,13.22350769
249,292554AJ1 Corp,ECPG,ECPG 3 1/4 03/15/22,2/27/2017,3/15/2022,-,No,-,150,0.300142653,0.0325,45.56489944,21.9467,45.3274,22.0617,Yes,0.994788163,,No,,,,,,,150,3/15/2022,Maturity,5,35.05,35.05,61.5,0.117773682,0.117773682,61.5,45.32742264
250,40416EAC7 Corp,HCI,HCI 4 1/4 03/01/37,2/27/2017,3/1/2037,3/6/2022,Call,3/1/2022,143.75,0.250050823,0.0425,61.48740005,16.2635,60.2475,16.5982,Yes,0.986545263,,No,,,,,,,143.75,3/1/2022,Put,5,49.19,49.19,62.26,0.048144304,0.048144304,62.26,60.66010324
251,826919AA0 Corp,SLAB,SLAB 1 3/8 03/01/22,2/28/2017,3/1/2022,3/6/2020,Soft Call,-,400,0.374962963,0.01375,92.81259281,10.7744,92.8126,10.7744,No,,,No,,,,,,,400,3/1/2022,Maturity,5,67.5,67.5,153.71,0.178799603,0.178799603,153.71,92.81259281
252,852234AA1 Corp,XYZ,XYZ 0 3/8 03/01/22,2/28/2017,3/1/2022,-,No,-,440,0.325057737,0.00375,22.94899128,43.5749,22.949,43.5749,No,,31.18,Yes,Tax-Integrated,31.18,0.800230947,34.9,0.079318182,80,405.1,3/1/2022,Maturity,5,17.32,17.32,127.5,0.490377151,0.327876751,71.5614,22.94899128
253,55024UAA7 Corp,LITE,LITE 0 1/4 03/15/24,3/3/2017,3/15/2024,-,No,-,450,0.325,0.0025,60.61891916,16.4965,60.6189,16.4965,No,,,No,,,,,,,450,3/15/2024,Maturity,7,46.7,46.7,46.25,-0.00137574,-0.00137574,46.25,60.61891916
254,695127AC4 Corp,PCRX,PCRX 2 3/8 04/01/22,3/7/2017,4/1/2022,4/1/2020,Soft Call,-,345,0.374922919,0.02375,66.89365915,14.9491,66.8937,14.9491,No,,,No,,,,,,,345,4/1/2022,Maturity,5,48.65,48.65,76.32,0.09294041,0.09294041,76.32,66.89365915
255,682189AN5 Corp,ON,ON 1 5/8 10/15/23,3/14/2017,10/15/2023,-,No,-,575,0.349837134,0.01625,20.72251107,48.2567,20.7225,48.2567,No,,30.7,Yes,Tax-Integrated,30.7,1,59.5,0.103478261,80,515.5,10/15/2023,Maturity,6.5,15.35,15.35,89.14,0.306159637,0.268581909,73.5488,20.72251107
256,88160RAD3 Corp,TSLA,TSLA 2 3/8 03/15/22,3/16/2017,3/15/2022,-,No,-,977.5,0.249761496,0.02375,327.5038147,3.0534,65.5008,15.267,Yes,0.19999997,,No,,,,,,,977.5,3/15/2022,Maturity,5,262.05,17.47,255.4567,0.710544582,0.239546088,766.37,65.50075326
257,85571BAH8 Corp,STWD,STWD 4 3/8 04/01/23,3/23/2017,4/1/2023,1/1/2023,Call,-,250,0.150022193,0.04375,25.9094878,38.5959,25.9095,38.5959,No,,,No,,,,,,,250,4/1/2023,Maturity,6,22.53,22.53,17.69,-0.039363605,-0.039363605,17.69,25.9094878
258,38268TAA1 Corp,GPRO,GPRO 3 1/2 04/15/22,4/6/2017,4/15/2022,-,No,-,175,0.250293772,0.035,10.6374944,94.0071,10.6375,94.0071,No,,,No,,,,,,,175,4/15/2022,Maturity,5,8.51,8.51,8.75,0.005550023,0.005550023,8.75,10.6374944
259,64125CAC3 Corp,NBIX,NBIX 2 1/4 05/15/24,4/26/2017,5/15/2024,5/15/2021,Soft Call,-,517.5,0.424924925,0.0225,75.92380287,13.1711,75.9238,13.1711,No,,,No,,,,,,,517.5,5/15/2024,Maturity,7,53.28,53.28,138.48,0.145030208,0.145030208,138.48,75.92380287
260,443573AA8 Corp,HUBS,HUBS 0 1/4 06/01/22,5/4/2017,6/1/2022,-,No,-,400,0.35,0.0025,94.76966234,10.5519,94.7697,10.5519,No,,115.83,Yes,Tax-Integrated,115.83,0.65,19.8,0.0495,80,380.2,6/1/2022,Maturity,5,70.2,70.2,337.69,0.362761698,0.319413215,286.5958,94.76966234
261,252131AF4 Corp,DXCM,DXCM 0 3/4 05/15/22,5/8/2017,5/15/2022,5/15/2020,Soft Call,-,400,0.35,0.0075,99.09035058,10.0918,99.0904,10.0918,No,,,No,,,,,,,400,5/15/2022,Maturity,5,73.4,18.35,83.685,0.352981105,0.352981105,334.74,99.09035058
262,69354NAA4 Corp,PRAA,PRAA 3 1/2 06/01/23,5/22/2017,6/1/2023,6/1/2021,Soft Call,-,345,0.350072993,0.035,46.2374292,21.6275,46.2374,21.6275,No,,,No,,,,,,,345,6/1/2023,Maturity,6,34.25,34.25,18.7,-0.09556243,-0.09556243,18.7,46.2374292
263,81762PAD4 Corp,NOW,NOW 0 06/01/22,5/23/2017,6/1/2022,-,No,-,782.5,0.324975418,0,134.7527287,7.421,134.7527,7.421,No,,203.4,Yes,Tax-Integrated,203.4,1,70.9,0.090607029,60,711.6,6/1/2022,Maturity,5,101.7,101.7,467.47,0.354878449,0.312956438,399.209,134.7527287
264,52603BAB3 Corp,TREE,TREE 0 5/8 06/01/22,5/24/2017,6/1/2022,-,No,-,300,0.325015954,0.00625,207.6282624,4.8163,207.6283,4.8163,No,,266.39,Yes,Tax-Integrated,266.39,0.7,18.1,0.060333333,80,281.9,6/1/2022,Maturity,5,156.7,156.7,63.11,-0.165719974,-0.307250874,24.8227,207.6282624
265,74346YAC7 Corp,PRO,PRO 2 06/01/47,6/15/2017,6/1/2047,6/16/2017,Soft/Call,6/1/2022,106.25,0.74991004,0.02,48.63249969,20.5624,46.979,21.2861,Yes,0.966000406,,No,,,,,,,106.25,6/1/2022,Put,5,27.79,27.79,27.29,-0.003652957,-0.003652957,27.29,46.97901447
266,87157DAC3 Corp,SYNA,SYNA 0 1/2 06/15/22,6/20/2017,6/15/2022,6/20/2020,Soft Call,-,525,0.324986391,0.005,73.02089691,13.6947,72.8507,13.7267,No,,,No,,,,,,,525,6/15/2022,Maturity,5,55.11,55.11,126.72,0.181746725,0.181746725,126.72,72.85072159
267,87918AAB1 Corp,TDOC,TDOC 3 12/15/22,6/21/2017,12/15/2022,12/22/2020,Soft Call,-,275,0.29985229,0.03,44.00498136,22.7247,44.005,22.7247,No,,,No,,,,,,,275,12/15/2022,Maturity,5.5,33.85,33.85,28.38,-0.03163253,-0.03163253,28.38,44.00498136
268,302301AC0 Corp,EZPW,EZPW 2 7/8 07/01/24,6/28/2017,7/1/2024,7/6/2021,Soft Call,-,143.75,0.298701299,0.02875,10,100,10,100,No,,,No,,,,,,,143.75,7/1/2024,Maturity,7,7.7,7.7,10.47,0.044822381,0.044822381,10.47,10
269,878155AD2 Corp,TISI,TISI 5 08/01/23,7/25/2017,7/1/2023,8/5/2021,Soft Call,-,230,0.4,0.05,21.70002365,46.0829,217.0002,4.6083,Yes,9.999999801,,No,,,,,,,230,7/1/2023,Maturity,6,15.5,155,8.3,-0.389418313,-0.099915879,8.3,217.0002322
270,004397AG0 Corp,ARAY,ARAY 3 3/4 07/15/22,7/27/2017,7/15/2022,-,No,-,85,0.3,0.0375,5.719999176,174.8252,5.72,174.8252,No,,,No,,,,,,,85,7/15/2022,Maturity,5,4.4,4.4,2.08,-0.140025908,-0.140025908,2.08,5.72000572
271,45781MAB7 Corp,INVA,INVA 2 1/2 08/15/25,8/1/2017,8/15/2025,-,No,-,192.5,0.299698795,0.025,17.2640011,57.924,17.264,57.924,No,,,No,,,,,,,192.5,-,-,-,13.28,13.28,18.24550697,0.040306494,0.040306494,18.24550697,17.2640011
272,09061GAH4 Corp,BMRN,BMRN 0.599 08/01/24,8/7/2017,12/31/2024,-,No,-,495,0.4,0.00599,124.6696255,8.0212,124.6696,8.0212,No,,,No,,,,,,,495,12/31/2024,Maturity,7.5,89.05,89.05,65.45,-0.040755865,-0.040755865,65.45,124.6696255
273,09257WAB6 Corp,BXMT,BXMT 4 3/8 05/05/22,8/8/2017,5/5/2022,-,No,-,402.5,0.146576663,0.04375,35.67300695,28.0324,35.673,28.0324,No,,,No,,,,,,,402.5,5/5/2022,Maturity,4.5,31.11,31.11,31.39,0.00189143,0.00189143,31.39,35.67300695
274,42727JAB8 Corp,HRTG,HRTG 5 7/8 08/01/37,8/10/2017,8/1/2037,8/5/2022,Call,8/1/2022,136.75,0.325044405,0.05875,14.91949441,67.0264,14.9195,67.0264,No,,,No,,,,,,,136.75,8/1/2022,Put,5,11.26,11.26,2.59,-0.255763734,-0.255763734,2.59,14.91949441
275,758075AC9 Corp,RWT,RWT 4 3/4 08/15/23,8/14/2017,8/15/2023,-,No,-,245,0.124772865,0.0475,18.57379913,53.8394,18.3566,54.4764,Yes,0.988304688,,No,,,,,,,245,8/15/2023,Maturity,6,16.51,16.51,7.72,-0.118943352,-0.118943352,7.72,18.35657275
276,41068XAB6 Corp,HASI,HASI 4 1/8 09/01/22,8/16/2017,9/1/2022,-,No,-,150,0.2,0.04125,27.23999977,36.7107,27.1466,36.837,No,,,No,,,,,,,150,9/1/2022,Maturity,5,22.7,22.7,39.52,0.116246767,0.116246767,39.52,27.14661889
277,472145AD3 Corp,JAZZ,JAZZ 1 1/2 08/15/24,8/17/2017,8/15/2024,8/20/2021,Soft Call,-,575,0.500034244,0.015,219.0148711,4.5659,219.0149,4.5659,No,,,No,,,,,,,575,8/15/2024,Maturity,7,146.01,146.01,109.2,-0.040681471,-0.040681471,109.2,219.0148711
278,65341BAA4 Corp,XIFR,XIFR 1 1/2 09/15/20,9/6/2017,9/15/2020,-,No,-,300,0.25,0.015,52.86250463,18.917,52.8625,18.917,No,,,No,,,,,,,300,9/15/2020,Maturity,3,42.29,42.29,58.22,0.111464786,0.111464786,58.22,52.86250463
279,94419LAA9 Corp,W,W 0 3/8 09/01/22,9/11/2017,9/1/2022,9/8/2020,Soft Call,-,431.25,0.350025947,0.00375,104.0582726,9.61,104.0583,9.61,No,,154.16,Yes,Capped Call,154.16,1,44.2,0.102492754,30,387.05,9/1/2022,Maturity,5,77.08,77.08,52.71,-0.07358442,-0.052931672,58.8172,104.0582726
280,98138HAE1 Corp,WDAY,WDAY 0 1/4 10/01/22,9/12/2017,10/1/2022,-,No,-,1150,0.375023369,0.0025,147.0977612,6.7982,147.0978,6.7982,No,,,No,,,,,,,1150,10/1/2022,Maturity,5,106.98,106.98,152.22,0.072293925,0.072293925,152.22,147.0977612
